antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'High', 'http', 'tcp'})","frozenset({'normal', 'SF'})",0.13329628453477294,0.5026595744680851,0.11916481422673865,0.8939845145920191,1.778508875590472,1.0,0.0521621605643129,4.691205474539807,0.5050529044879062,0.23058606651816577,0.7868351737251293,0.5655265698601729
"frozenset({'High', 'SF'})","frozenset({'normal', 'tcp'})",0.18458240711336932,0.4239838043823436,0.139171165449349,0.7539784946236558,1.7783190933956687,1.0,0.0609112142593721,2.341324571347991,0.5367448867021458,0.2964904862579281,0.5728913401253627,0.5411124567491465
"frozenset({'Medium', 'tcp'})",frozenset({'normal'}),0.2166163861543347,0.5338599555414417,0.20562083201016196,0.9492395088876673,1.7780683848537522,1.0,0.08997801772826106,9.183127157438108,0.5585921471074752,0.37738598280635294,0.89110463321963,0.667199128374981
"frozenset({'Medium', 'tcp'})","frozenset({'Zero', 'Low', 'normal'})",0.2166163861543347,0.4269212448396316,0.16433788504287075,0.7586586036283672,1.7770457966160695,1.0,0.07185974781319984,2.374556390972005,0.5581790242451614,0.3429423459244533,0.5788687083608663,0.5717979210610455
"frozenset({'Zero', 'High', 'SF', 'tcp'})",frozenset({'normal'}),0.14103683709114004,0.5338599555414417,0.1337726262305494,0.9484942302279765,1.7766723658192567,1.0,0.05847870665136781,9.050249059897611,0.5089275559309265,0.24721244131455405,0.8895058032788201,0.5995352406251787
"frozenset({'Normal', 'Low'})","frozenset({'Zero', 'normal', 'SF', 'tcp'})",0.37698475706573514,0.3504287075261988,0.2346776754525246,0.6225123723281036,1.7764308658461243,1.0,0.10257139427690098,1.7207750528936374,0.7015454444737104,0.4762748731168936,0.4188665169695421,0.6460998653665891
"frozenset({'Normal', 'SF', 'tcp'})",frozenset({'normal'}),0.3058510638297872,0.5338599555414417,0.2900523975865354,0.9483452303698897,1.7763932666724858,1.0,0.12677076224806252,9.024143322997974,0.6296366209486834,0.5276955297176285,0.8891861571556043,0.7458285003808702
"frozenset({'Zero', 'High', 'SF', 'tcp', 'http'})",frozenset({'normal'}),0.12503969514131472,0.5338599555414417,0.1185693871070181,0.9482539682539681,1.7762223190017077,1.0,0.0518157010179604,9.008227853033466,0.4994597008656846,0.21943873053188365,0.8889903745426182,0.5851761327625704
"frozenset({'Zero', 'High', 'http', 'SF'})",frozenset({'normal'}),0.12503969514131472,0.5338599555414417,0.1185693871070181,0.9482539682539681,1.7762223190017077,1.0,0.0518157010179604,9.008227853033466,0.4994597008656846,0.21943873053188365,0.8889903745426182,0.5851761327625704
"frozenset({'High', 'SF', 'tcp'})",frozenset({'normal'}),0.1468323277230867,0.5338599555414417,0.139171165449349,0.947823736144904,1.7754164295458712,1.0,0.06078326549905552,8.933948313223867,0.5119179677465134,0.2570004398182085,0.8880674070478091,0.6042561315864678
